Model,Method,Best Test Acc@1 (%),Best Test Acc@5 (%),Training Time (min),Inference (ms/batch)
Teacher (VGG-16),N/A,74.00,90.54,N/A,N/A
Student (VGG-11),SI,66.12,87.11,18.77,11.48324525449425
Student (VGG-11),LM,69.27,88.07,20.71,11.501183002255857
Student (VGG-11),LS,66.99,87.73,19.60,11.428439482115209
Student (VGG-11),DKD,69.57,86.71,20.97,11.553058391436934
Student (VGG-11),HINTS,67.93,87.16,22.14,11.549583403393626
Student (VGG-11),CRD,69.77,87.98,46.98,11.541796997189522
