Model,SSIM,Pearson,Cosine
SI,0.14705750187195518,0.004188871011137962,0.7141454815864563
LM,0.12770439729570165,-0.025969499722123146,0.7125651240348816
LS,0.1488618671504729,-0.004343461245298386,0.7073494791984558
DKD,0.11064535010049653,-0.04068791739722972,0.6547909563662918
HINTS,0.15902321811949294,0.02238869183726367,0.715065016651548
CRD,0.1716368111532172,0.04389844089746475,0.708808422088623
